idiom_ru,definition_en,literal_en
из ко´жи вон лeзть,to do something as well as you can by making a ​great ​effort:,to crawl out of one’s skin
тaнцeвa´ть от пe´чки,to start something again that was unsucessful,to dance from the stove
вороти´лa,an important person; a self-important person.,a big turner
медведь на ухо наступил,to be tone deaf,a bear has stepped on one’s ear
остаешься за главного,to remain behind and take care of things,you stay as the main one
обвести вокруг пальца,"to be able to persuade someone to do anything you want, usually because they like you so much ",to lead around a finger
держать язык за зубами,keep a secret,to keep one’s tongue behind one’s teeth
москва не сразу строилась,important work takes time.,moscow was not built at once
нужда заставляет,something that you say which means that if you want to do something very much you will think of a way to do it,need forces
плечом к плечу,to be very close or equal with someone,shoulder to shoulder
цыплят по осени считают,make plans based on events that may or may not happen.,chicks are counted in autumn
"не имей сто рублей, а имей сто друзей",better to have friends than money,"do not have a hundred rubles, but have a hundred friends"
"береги честь смолоду, а платье снову",those who would be young when they are old must be old when they are young.,guard your honor from youth and your clothes from new
утро вечера мудренее,one may not accomplish everything today but will have another chance.,the morning is wiser than the evening
тянуть кота за хвост,to keep delaying something,to pull the cat by the tail
бьется как рыба об лед,do something without a result,to beat like a fish against the ice
стучаться в закрытую дверь,there's no point to it,to knock on a closed door
чесать репу,to have difficulty understanding something,to scratch one’s turnip
рыба тухнет с головы,"when an organization or state fails, it is the leadership that is the root cause.",the fish rots from the head
грызть гранит науки,"to work studiously, especially late into the night.",to gnaw the granite of science
менять шило на мыло,to trade bad for worse,to swap an awl for soap
и так и сяк,in many different directions,this way and that
затаить дыхание,you feel very excited or anxious while you are waiting,to hold one’s breath
для красного словца,to say something for effect,for a red word
дешево отделаться,a situation in which you were lucky because you just managed to avoid danger or trouble,to get off cheaply
подловили!,when someone is tricking to another and this another person discover that is a joke,caught me
не поднимай кипиш,"to do or say something that causes problems, especially if you try to change a situation which most people do not want to change",do not t raise a commotion
семь раз отмерь один раз отрежь,something that you say in order to advise someone to think about possible problems before doing something,measure seven times cut once
